Rank,Country,Power_Index,Detail_URL
124,Nepal,PwrIndx: 2.8037,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=nepal
125,Laos,PwrIndx: 2.8672,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=laos
126,Senegal,PwrIndx: 2.8925,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=senegal
127,Burkina Faso,PwrIndx: 2.9213,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=burkina-faso
128,Montenegro,PwrIndx: 2.9782,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=montenegro
129,El Salvador,PwrIndx: 2.9973,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=el-salvador
130,Botswana,PwrIndx: 2.9993,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=botswana
131,Madagascar,PwrIndx: 3.0381,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=madagascar
132,Gabon,PwrIndx: 3.0432,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=gabon
133,Bosnia and Herzegovina,PwrIndx: 3.1291,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=bosnia-and-herzegovina
134,Iceland,PwrIndx: 3.4013,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=iceland
135,Panama,PwrIndx: 3.5011,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=panama
136,Moldova,PwrIndx: 3.6225,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=moldova
137,Somalia,PwrIndx: 3.7393,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=somalia
138,Benin,PwrIndx: 3.8963,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=benin
139,Kosovo,PwrIndx: 3.8041,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=kosovo
140,Sierra Leone,PwrIndx: 3.9201,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=sierra-leone
141,Liberia,PwrIndx: 3.9275,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=liberia
142,Suriname,PwrIndx: 4.0538,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=suriname
143,Central African Republic,PwrIndx: 4.2381,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=central-african-republic
144,Beliz,PwrIndx: 4.3602,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=beliz
145,Bhutan,PwrIndx: 5.7991,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=bhutan
