country,power_index,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp,alliance
Chile,0.8704,18664652,8959033,7521855,298634,80000,40000,50000,274,45,0,33,92,18,5,86,0,386,7480,48,249,9,130,176065,0,0,4,0,8,0,40,0,6800000000,235950000000,596556000000,44403000000,379,10088000,39,249,7282 km,77801 km,11000 bbl,404000 bbl,150000000 bbl,1200000000 Cu.M,6916000000 Cu.M,97976000000 Cu.M,474000 Cu.M,8087000 mt,1181000000 Cu.M,756102 km,6435 km,7801 km,12290 km,Americas,Latin America and the Caribbean,301000000000.0,NATO
Peru,0.8827,32600249,15648120,12681497,619405,120000,386000,60000,252,15,22,39,68,12,0,112,16,355,9168,12,290,61,78,171629,0,0,6,0,7,8,13,0,2552000000,38102000000,535911000000,79246000000,174,18918000,20,111,1855 km,70000 km,118000 bbl,255000 bbl,858890000 bbl,12270000000 Cu.M,7185000000 Cu.M,300159000000 Cu.M,1382000 Cu.M,973000 mt,1567000000 Cu.M,1285216 km,2414 km,7062 km,8808 km,Americas,Latin America and the Caribbean,243000000000.0,NATO
Venezuela,0.9106,31250306,15625153,12812625,625006,109000,8000,220000,224,30,0,47,75,3,1,85,10,282,15168,60,92,56,41,10190,0,0,3,0,1,0,26,0,6060000000,121363000000,110943000000,9944750000,509,11136000,31,272,447 km,96189 km,801000 bbl,203000 bbl,303806000000 bbl,17696000000 Cu.M,17696000000 Cu.M,5674000000000 Cu.M,149000 Cu.M,80000 mt,730999000 Cu.M,912050 km,2800 km,5267 km,7100 km,Americas,Latin America and the Caribbean,92021865893.5,NATO
Romania,0.9558,18148155,9437041,7731114,199630,90000,55000,15000,148,29,0,13,44,2,0,66,0,451,13266,0,720,243,18,10190,0,0,0,0,3,7,0,7,10230630000,145200000000,774376000000,73391000000,103,8263000,11,127,10628 km,85387 km,67000 bbl,220000 bbl,600000000 bbl,9501000000 Cu.M,10055000000 Cu.M,105480000000 Cu.M,14752000 Cu.M,15533000 mt,291000000 Cu.M,238391 km,225 km,2844 km,1731 km,Europe,Eastern Europe,301000000000.0,NATO
Uzbekistan,0.9908,36520593,18990708,15959499,730412,120000,0,20000,159,26,13,12,7,0,0,101,34,470,8692,177,236,108,0,10190,0,0,0,0,0,0,0,0,6210000000,25714000000,379989000000,41237000000,74,13974000,0,0,4642 km,225500 km,64000 bbl,111000 bbl,594000000 bbl,47500000000 Cu.M,43227000000 Cu.M,1841000000000 Cu.M,6379000 Cu.M,8941000 mt,1375000000 Cu.M,447400 km,420 km,6893 km,1100 km,Asia,Central Asia,80391853885.0,NATO
United Arab Emirates,1.0188,10032213,5818684,4945881,80258,65000,130000,12000,581,99,40,35,151,27,5,250,30,354,8982,165,99,49,84,20210,0,0,0,0,0,11,34,2,23480000000,290400000000,745994000000,237931000000,42,7090000,20,655,0 km,4080 km,4146000 bbl,846000 bbl,97800000000 bbl,56683000000 Cu.M,66091000000 Cu.M,6091000000 Cu.M,0 Cu.M,5411000 mt,0 Cu.M,83600 km,1318 km,1066 km,0 km,Asia,Western Asia,508000000000.0,NATO
Czechia,1.0313,10837890,5093808,4129236,97541,30334,4900,0,103,12,16,10,21,2,0,42,4,20,6275,53,0,16,0,10190,0,0,0,0,0,0,0,0,9174000000,232320000000,521928000000,146281000000,252,5541000,0,0,9548 km,129418 km,4000 bbl,219000 bbl,15000000 bbl,224725000 Cu.M,7602000000 Cu.M,3964000000 Cu.M,31946000 Cu.M,33239000 mt,3595000000 Cu.M,78867 km,0 km,2046 km,664 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Morocco,1.0368,37387585,17946041,15254135,635589,400000,250000,50000,271,84,0,31,77,4,2,73,6,1346,17594,544,188,185,100,10190,0,0,0,0,6,1,84,0,16100000000,42262000000,350594000000,37134000000,48,12475000,12,94,2067 km,57300 km,25 bbl,296000 bbl,684000 bbl,82595000 Cu.M,243201000 Cu.M,1444000000 Cu.M,0 Cu.M,10304000 mt,96000000 Cu.M,715550 km,1835 km,2363 km,0 km,Africa,Northern Africa,134000000000.0,NATO
Hungary,1.0429,9855745,4632200,3794462,118269,41600,20000,15000,80,12,0,3,17,0,0,50,8,220,11502,24,295,0,0,10190,0,0,0,0,0,0,0,0,5887250000,151250000000,389207000000,46422000000,109,4954000,0,1,7687 km,203601 km,36000 bbl,179000 bbl,12100000 bbl,1523000000 Cu.M,9485000000 Cu.M,3738000000 Cu.M,4293000 Cu.M,4694000 mt,2633000000 Cu.M,103000 km,0 km,2106 km,1622 km,Europe,Eastern Europe,179000000000.0,NATO
Kazakhstan,1.0433,20260006,9117003,6928922,283640,110000,135000,55000,168,37,13,21,25,0,0,72,12,353,17460,126,194,287,26,10190,0,0,0,0,0,0,23,2,5836386000,25765000000,739385000000,45808000000,132,10285000,0,122,16636 km,96167 km,1955000 bbl,386000 bbl,30000000000 bbl,27011000000 Cu.M,22623000000 Cu.M,2407000000000 Cu.M,120279000 Cu.M,86349000 mt,25605000000 Cu.M,2724900 km,26 km,13364 km,43983 km,Asia,Central Asia,221000000000.0,NATO
