country,power_index,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp,alliance
Qatar,1.4096,2552088,638022,490001,12760,26550,4000,5500,263,115,6,12,45,0,0,85,24,62,5576,46,12,16,125,10190,0,0,0,0,0,4,107,0,11950000000,205700000000,317064000000,53987000000,8,2123000,6,123,0 km,7039 km,1818000 bbl,268000 bbl,25244000 bbl,169595000000 Cu.M,41515000000 Cu.M,23861000000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,11586 km,563 km,87 km,0 km,Asia,Western Asia,237000000000.0,NATO
Ecuador,1.4479,18309984,8422593,6738074,329580,41250,118000,1500,99,0,0,20,34,8,0,43,0,202,5322,5,106,24,30,10190,0,0,2,0,2,6,5,0,2963400000,39658000000,252728000000,6908000000,317,8821000,6,154,965 km,43950 km,480000 bbl,272000 bbl,8273000000 bbl,309778000 Cu.M,309778000 Cu.M,10902000000 Cu.M,0 Cu.M,14000 mt,24000000 Cu.M,283560 km,2237 km,2237 km,1500 km,Americas,Latin America and the Caribbean,115000000000.0,NATO
Croatia,1.5432,4150116,2033557,1564594,53952,14325,20100,2000,67,12,0,0,26,0,0,37,0,55,4874,25,42,42,30,10190,0,0,0,0,0,0,11,1,2744000000,60500000000,164825000000,3336000000,45,1733000,16,384,2617 km,26958 km,11000 bbl,70000 bbl,71000000 bbl,741456000 Cu.M,2502000000 Cu.M,24919000000 Cu.M,0 Cu.M,596000 mt,0 Cu.M,56594 km,5835 km,2237 km,4714 km,Europe,Southern Europe,70964606465.0,NATO
Jordan,1.5581,11174024,3463947,2983464,145262,114500,100000,35000,279,44,10,12,66,11,0,159,44,1508,25278,478,80,84,27,10190,0,0,0,0,0,0,27,0,2668500000,21058000000,109986000000,21939000000,18,3080000,1,34,509 km,7203 km,20 bbl,97000 bbl,1000000 bbl,187262000 Cu.M,4382000000 Cu.M,6031000000 Cu.M,0 Cu.M,269000 mt,0 Cu.M,89342 km,26 km,1744 km,0 km,Asia,Western Asia,47451499859.0,NATO
Bahrain,1.6731,1566888,846120,720768,17236,18400,110000,1500,137,28,0,3,40,0,0,66,34,150,5196,38,26,18,64,10190,0,0,0,0,2,2,50,0,997015509,54450000000,93937000000,4949000000,3,913300,4,184,0 km,4122 km,190000 bbl,72000 bbl,186500000 bbl,18005000000 Cu.M,17924000000 Cu.M,81382000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,760 km,161 km,0 km,0 km,Asia,Western Asia,44390820479.0,NATO
Kuwait,1.7161,3138355,1726095,1449920,37660,78000,24000,7500,133,47,0,2,13,0,3,68,16,367,7472,51,0,27,123,10190,0,0,0,0,0,0,106,0,7987000000,60500000000,225947000000,50728000000,6,3003000,6,176,0 km,5749 km,2910000 bbl,430000 bbl,101500000000 bbl,19285000000 Cu.M,26083000000 Cu.M,1784000000000 Cu.M,0 Cu.M,60000 mt,0 Cu.M,17818 km,499 km,475 km,0 km,Asia,Western Asia,185000000000.0,NATO
Albania,1.7258,3107100,1522479,1292554,62142,7500,0,500,20,0,0,1,0,0,0,19,0,0,1492,10,0,270,33,10190,0,0,0,0,0,0,33,0,720037190,5363000000,51360000000,6516000000,3,1370000,3,69,424 km,3581 km,14000 bbl,21000 bbl,150000000 bbl,50623000 Cu.M,50623000 Cu.M,5692000000 Cu.M,473000 Cu.M,255000 mt,522000000 Cu.M,28748 km,362 km,691 km,41 km,Europe,Southern Europe,18882095518.0,NATO
Turkmenistan,1.7459,5744151,2768681,2245963,109139,36500,0,3500,91,22,27,5,11,0,0,26,10,654,11588,73,457,164,16,10190,0,0,0,0,0,0,16,0,1463000000,3696000000,134555000000,21073860000,23,2445000,0,73,5113 km,58592 km,272000 bbl,152000 bbl,600000000 bbl,86472000000 Cu.M,41561000000 Cu.M,11327000000000 Cu.M,0 Cu.M,0 mt,799999000 Cu.M,488100 km,1768 km,4158 km,1300 km,Asia,Central Asia,92021865893.5,NATO
Tunisia,1.7823,12048847,6024424,5181004,204830,89800,0,12000,155,10,0,12,28,4,0,101,0,145,13927,0,105,0,37,10190,0,0,0,0,1,1,30,0,2172751250,21212000000,156086000000,9344000000,14,4247000,16,72,2173 km,32332 km,35000 bbl,104000 bbl,425000000 bbl,1323000000 Cu.M,5153000000 Cu.M,65129000000 Cu.M,0 Cu.M,2000 mt,0 Cu.M,163610 km,1148 km,1495 km,0 km,Africa,Northern Africa,46664948952.0,NATO
Libya,1.7872,7361263,3827857,3290485,125141,32000,0,100000,83,10,1,12,35,0,0,22,4,55,2728,20,38,25,5,10190,0,0,0,0,1,0,2,0,1474800000,3654200000,90609000000,92894000000,75,2585000,14,96,0 km,34000 km,1245000 bbl,207000 bbl,48363000000 bbl,11832000000 Cu.M,9212000000 Cu.M,1505000000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,1759540 km,1770 km,4339 km,0 km,Africa,Northern Africa,45752336036.0,NATO
Paraguay,1.7974,7522549,3535598,3001497,150451,15650,168500,14800,49,0,4,12,14,1,0,18,0,10,2876,6,50,0,73,10190,0,0,0,0,0,0,64,0,416800000,13783000000,112919000000,9886000000,83,3502000,1,108,30 km,78811 km,2000 bbl,52000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,700 mt,0 Cu.M,406752 km,0 km,4655 km,3100 km,Americas,Latin America and the Caribbean,41722295362.0,NATO
Bolivia,1.8301,12311974,5417269,4112199,233928,40000,40000,0,67,0,0,15,20,2,0,29,0,54,764,0,58,0,67,10190,0,0,0,0,0,0,50,0,467670000,11174000000,122200000000,1977000000,201,6859000,0,50,3690 km,90568 km,58000 bbl,100000 bbl,240900000 bbl,13760000000 Cu.M,3055000000 Cu.M,302990000000 Cu.M,0 Cu.M,9000 mt,1000000 Cu.M,1098581 km,0 km,7252 km,10000 km,Americas,Latin America and the Caribbean,43068885673.0,NATO
Cambodia,1.8434,17063669,8190561,5733393,307146,124300,0,10000,24,0,0,4,0,0,0,20,0,520,5439,30,525,521,20,10190,0,0,0,0,0,0,20,0,750000000,8019000000,123676000000,22506000000,12,9904000,2,195,642 km,61810 km,0 bbl,77000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,27000 Cu.M,4390000 mt,0 Cu.M,181035 km,443 km,2530 km,3700 km,Asia,South-eastern Asia,29956769529.0,NATO
Kenya,1.8588,58246378,21551160,14037377,931942,50000,0,25000,154,17,0,21,30,2,0,84,2,188,9114,18,53,0,27,10190,0,0,0,0,0,0,18,0,1651803025,31451000000,328632000000,10067000000,368,23781000,4,26,3819 km,161452 km,0 bbl,113000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,1453000 mt,0 Cu.M,580367 km,536 km,3457 km,0 km,Africa,Sub-Saharan Africa,113000000000.0,NATO
Chad,1.8594,19093595,6873694,3856906,381872,37750,0,5000,40,0,7,7,8,2,0,16,3,90,4345,10,13,16,0,10190,0,0,0,0,0,0,0,0,706800000,2286000000,52895000000,1050000000,44,6600000,0,0,0 km,40000 km,124000 bbl,15000 bbl,1500000000 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,0 mt,0 Cu.M,1284000 km,0 km,6406 km,12400 km,Africa,Sub-Saharan Africa,12704149842.0,NATO
Oman,1.8823,3901992,1482757,1291559,50726,100000,0,10000,128,29,10,9,45,4,0,31,0,264,11380,24,144,0,17,22490,0,0,0,0,0,5,8,0,8364000000,55986700000,193591000000,18287000000,37,2696000,7,57,0 km,60230 km,1056000 bbl,218000 bbl,5375000000 bbl,40754000000 Cu.M,27364000000 Cu.M,651287000000 Cu.M,0 Cu.M,82000 mt,0 Cu.M,309500 km,2092 km,1561 km,0 km,Asia,Western Asia,115000000000.0,NATO
Syria,1.8861,23865423,15273871,13245310,668232,100000,0,50000,104,52,5,2,8,0,0,39,7,168,18736,60,0,0,12,10190,0,0,0,0,0,0,8,0,145925000,4441250000,98858000000,307766250,42,6617000,3,24,2052 km,69873 km,65000 bbl,102000 bbl,2500000000 bbl,3085000000 Cu.M,3084000000 Cu.M,240693000000 Cu.M,0 Cu.M,15000 mt,0 Cu.M,187437 km,193 km,2363 km,900 km,Asia,Western Asia,92021865893.5,NATO
Lithuania,1.8949,2628186,1708321,1332490,36795,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,4553,16,54,0,13,10190,0,0,0,0,0,0,5,4,5651760000,48400000000,136227000000,7406000000,64,1548000,2,59,1911 km,83821 km,4000 bbl,67000 bbl,12000000 bbl,0 Cu.M,1601000000 Cu.M,0 Cu.M,0 Cu.M,166000 mt,0 Cu.M,65300 km,90 km,1545 km,441 km,Europe,Northern Europe,70334299008.0,NATO
Tanzania,1.9111,67462121,12143182,6678750,607159,25000,0,6500,38,11,0,6,6,0,0,15,0,200,8408,0,205,70,12,10190,0,0,0,0,0,0,10,0,1476113361,17513000000,246706000000,5371525000,206,32983000,8,381,4097 km,145203 km,0 bbl,85000 bbl,0 bbl,1808000000 Cu.M,1808000000 Cu.M,6513000000 Cu.M,2341000 Cu.M,740000 mt,1410000000 Cu.M,947300 km,1424 km,4161 km,0 km,Africa,Sub-Saharan Africa,75709289056.0,NATO
New Zealand,1.9258,5161211,2219321,1775457,61935,10050,3300,300,47,0,0,7,13,6,0,21,0,0,3378,0,31,0,8,10190,0,0,0,0,2,0,4,0,2455949332,230651410000,257117000000,22065000000,206,3124000,22,117,4128 km,94000 km,12000 bbl,154000 bbl,40993000 bbl,3770000000 Cu.M,3819000000 Cu.M,31149000000 Cu.M,3011000 Cu.M,2696000 mt,6750000000 Cu.M,268838 km,15134 km,0 km,0 km,Oceania,Australia and New Zealand,247000000000.0,NATO
Slovenia,1.9404,2097893,1006989,826570,22867,7000,26000,5000,40,0,0,5,23,0,0,16,0,54,4636,17,18,0,3,10190,0,0,0,0,0,0,3,0,1782000000,60500000000,103118000000,2832000000,42,1058000,2,8,1207 km,38125 km,4 bbl,44000 bbl,0 bbl,3863000 Cu.M,840902000 Cu.M,0 Cu.M,2440000 Cu.M,2309000 mt,95000000 Cu.M,20273 km,47 km,1211 km,710 km,Europe,Southern Europe,62117768015.0,NATO
Mozambique,1.9769,33350954,14674420,7770772,533615,11200,0,3000,23,8,2,5,1,0,0,7,2,60,3488,0,104,12,36,10190,0,0,0,0,0,0,36,0,480000000,8274000000,51786000000,3843000000,92,15173000,11,36,4787 km,30562 km,0 bbl,42000 bbl,0 bbl,5388000000 Cu.M,1347000000 Cu.M,2832000000000 Cu.M,10583000 Cu.M,13000 mt,1792000000 Cu.M,799380 km,2470 km,4783 km,460 km,Africa,Sub-Saharan Africa,17851491428.0,NATO
Mongolia,1.9987,3281676,1870555,1552233,62352,35000,230000,50000,8,0,0,3,2,0,0,3,0,420,11040,0,500,130,0,10190,0,0,0,0,0,0,0,0,1590000000,8379000000,59221000000,5508000000,37,1449000,0,318,1815 km,113200 km,15000 bbl,39000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,68824000 Cu.M,8941000 mt,2520000000 Cu.M,1564116 km,0 km,8082 km,580 km,Asia,Eastern Asia,16810883361.0,NATO
Ireland,2.0661,5233461,2407392,1999182,57568,7557,1720,0,23,0,0,5,8,2,0,8,0,0,3296,0,0,0,8,10190,0,0,0,0,0,0,8,0,1754400500,3630000000000,620544000000,12698000000,100,2857000,21,94,1688 km,102227 km,600 bbl,159000 bbl,0 bbl,1447000000 Cu.M,5280000000 Cu.M,9911000000 Cu.M,0 Cu.M,1341000 mt,40000000 Cu.M,70273 km,1448 km,443 km,956 km,Europe,Northern Europe,529000000000.0,NATO
Georgia,2.0779,4900961,2744538,2225036,93118,37000,205500,0,61,0,5,2,10,0,0,44,11,132,5974,67,121,42,19,10190,0,0,0,0,0,0,31,4,680000000,9085000000,91849000000,4447000000,21,1833000,3,26,1363 km,40044 km,300 bbl,34000 bbl,35000000 bbl,8760000 Cu.M,2796000000 Cu.M,8495000000 Cu.M,148000 Cu.M,384000 mt,900999000 Cu.M,69700 km,310 km,1814 km,0 km,Asia,Western Asia,24605375420.0,NATO
Guatemala,2.1277,18255216,7484639,6279794,182552,106114,90000,35000,35,0,3,10,0,2,0,20,0,0,3268,0,110,0,25,10190,0,0,0,0,0,0,20,0,616000000,11862000000,232673000000,24412000000,58,7575000,3,9,800 km,17440 km,6000 bbl,117000 bbl,86110000 bbl,3276000 Cu.M,2986000 Cu.M,0 Cu.M,0 Cu.M,1012000 mt,0 Cu.M,108889 km,400 km,1667 km,990 km,Americas,Latin America and the Caribbean,95003333381.0,NATO
Uruguay,2.1537,3425330,1575652,1322177,54805,24000,0,5000,43,0,6,6,12,5,2,12,0,62,5968,16,83,4,16,10190,0,0,0,0,0,0,5,2,1903440000,54450000000,108502000000,17378000000,65,1768000,8,58,1673 km,77732 km,400 bbl,50000 bbl,0 bbl,0 Cu.M,86037000 Cu.M,0 Cu.M,0 Cu.M,8000 mt,0 Cu.M,176215 km,660 km,1591 km,1600 km,Americas,Latin America and the Caribbean,71177146197.0,NATO
Yemen,2.1617,32140443,12213368,9031464,610668,33350,0,20000,160,68,0,3,30,0,0,59,14,0,1550,12,60,30,26,10190,0,0,0,0,0,1,9,0,405187500,6492000000,18719000000,831025575,37,7848000,10,30,0 km,71300 km,15000 bbl,58000 bbl,3000000000 bbl,189432000 Cu.M,189432000 Cu.M,478555000000 Cu.M,0 Cu.M,27000 mt,0 Cu.M,527968 km,1906 km,1601 km,0 km,Asia,Western Asia,92021865893.5,NATO
Cameroon,2.1689,30966105,10528476,6224187,495458,38000,0,9000,35,0,0,6,6,2,0,21,0,0,860,18,52,20,19,10190,0,0,0,0,0,0,19,0,835694942,11112000000,143264000000,4882000000,37,11119000,7,198,987 km,77589 km,64000 bbl,41000 bbl,200000000 bbl,2595000000 Cu.M,877058000 Cu.M,135071000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,475440 km,400 km,5018 km,0 km,Africa,Sub-Saharan Africa,44341646509.0,NATO
Tajikistan,2.1749,10394063,4781269,3773045,176699,150000,600000,20000,25,0,0,1,4,0,0,20,6,38,6782,3,13,24,0,10190,0,0,0,0,0,0,0,0,450460000,3024000000,50370000000,3026450000,19,2780000,0,0,680 km,30000 km,300 bbl,31000 bbl,12000000 bbl,18476000 Cu.M,85567000 Cu.M,5663000000 Cu.M,2394000 Cu.M,2297000 mt,4075000000 Cu.M,144100 km,0 km,4130 km,200 km,Asia,Central Asia,10492123388.0,NATO
Armenia,2.2016,2976765,1666988,1366335,44651,65000,210000,5000,69,4,14,3,12,0,0,36,20,109,1412,104,193,100,0,10190,0,0,0,0,0,0,0,0,1480000000,6002000000,60909000000,3685000000,11,1510000,0,0,686 km,7700 km,0 bbl,15000 bbl,0 bbl,0 Cu.M,2861000000 Cu.M,0 Cu.M,300 Cu.M,19000 mt,317000000 Cu.M,29743 km,0 km,1570 km,0 km,Asia,Western Asia,19502783988.0,NATO
Latvia,2.2316,1801246,810561,648449,16211,17870,38000,12500,3,0,0,0,0,0,0,3,0,0,3410,47,0,0,18,10190,0,0,0,0,0,0,11,6,42000000,48598440000,72516000000,5141000000,55,954900,5,83,2216 km,57972 km,2000 bbl,33000 bbl,0 bbl,0 Cu.M,828214000 Cu.M,0 Cu.M,0 Cu.M,20000 mt,0 Cu.M,64589 km,498 km,1370 km,300 km,Europe,Northern Europe,41153912663.0,NATO
Honduras,2.2575,9529188,4192843,3144632,95292,52225,0,23000,45,6,7,10,10,1,0,11,0,22,4666,0,48,0,98,10190,0,0,0,0,0,0,93,0,612300000,7785000000,71297000000,8036000000,129,4296000,8,489,699 km,14742 km,20 bbl,71000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,144000 mt,0 Cu.M,112090 km,832 km,1575 km,465 km,Americas,Latin America and the Caribbean,31717700115.0,NATO
Mali,2.2598,21990607,6817088,4288168,351850,40000,0,4800,44,9,12,8,4,1,0,10,8,0,3717,0,50,30,0,10190,0,0,0,0,0,0,0,0,1110000000,4085000000,71253000000,647800000,30,9126000,0,0,593 km,139107 km,0 bbl,46000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,0 mt,0 Cu.M,1240192 km,0 km,7908 km,1800 km,Africa,Sub-Saharan Africa,18827176532.0,NATO
Zimbabwe,2.2801,17150352,6517134,3721626,360157,29000,0,21800,80,9,9,14,20,0,0,28,6,60,1248,0,0,0,0,10190,0,0,0,0,0,0,0,0,1976800000,6671000000,57391000000,484973000,144,6386000,0,0,3427 km,97267 km,800 bbl,34000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,7968000 Cu.M,6705000 mt,502000000 Cu.M,390757 km,0 km,3229 km,0 km,Africa,Sub-Saharan Africa,20678055598.0,NATO
Estonia,2.3201,1193791,584958,456028,13132,7700,230000,10000,2,0,0,2,0,0,0,0,0,0,2579,48,0,6,8,10190,0,0,0,0,0,0,4,4,2375000000,29040000000,57001000000,2075000000,34,756200,20,72,1441 km,89382 km,24000 bbl,27000 bbl,0 bbl,0 Cu.M,354912000 Cu.M,0 Cu.M,0 Cu.M,800 mt,0 Cu.M,45228 km,3794 km,657 km,335 km,Europe,Northern Europe,38100812959.0,NATO
Uganda,2.3252,49283041,16756234,9905891,985661,45000,0,10000,51,6,0,3,12,0,0,30,6,259,9702,6,26,12,0,10190,0,0,0,0,0,0,0,0,1510000000,10469000000,144137000000,3432750000,39,22829000,0,0,1244 km,20544 km,0 bbl,44000 bbl,2500000000 bbl,0 Cu.M,0 Cu.M,14158000000 Cu.M,19 Cu.M,0 mt,799999000 Cu.M,241038 km,0 km,2729 km,0 km,Africa,Sub-Saharan Africa,45559202049.0,NATO
Ivory Coast,2.3884,29981758,12292521,7855221,569653,22000,0,5500,22,0,0,3,2,3,0,14,5,0,1328,0,4,6,8,10190,0,0,0,0,0,0,7,0,18200000,26576000000,215018000000,7583484000,29,12595000,5,25,660 km,81996 km,29000 bbl,87000 bbl,100000000 bbl,2635000000 Cu.M,2635000000 Cu.M,28317000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,322463 km,515 km,3458 km,980 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Kyrgyzstan,2.3969,6172101,3147772,2487357,117270,23000,0,55000,7,0,0,0,0,0,0,7,2,215,5372,30,174,21,0,10190,0,0,0,0,0,0,0,0,654000000,3617000000,50907000000,5089000000,28,3197000,0,0,424 km,34000 km,6000 bbl,31000 bbl,40000000 bbl,31026000 Cu.M,438000000 Cu.M,5663000000 Cu.M,3685000 Cu.M,4212000 mt,28499000000 Cu.M,199951 km,0 km,4573 km,576 km,Asia,Central Asia,92021865893.5,NATO
Luxembourg,2.4429,671254,154388,92633,3356,1200,0,0,1,0,0,1,0,0,0,0,0,0,476,0,0,0,0,10190,0,0,0,0,0,0,0,0,1530685000,5203000000000,86871000000,2789000000,3,350000,0,147,271 km,2746 km,0 bbl,51000 bbl,0 bbl,0 Cu.M,594240000 Cu.M,0 Cu.M,0 Cu.M,34000 mt,0 Cu.M,2586 km,0 km,327 km,37 km,Europe,Western Europe,82274812251.0,NATO
Zambia,2.4461,20799116,7279691,4139024,374384,15150,0,1200,78,0,0,13,34,0,0,33,0,75,848,12,60,50,0,10190,0,0,0,0,0,0,0,0,385321000,16597000000,79207000000,3017000000,120,7407000,0,2,3126 km,67671 km,0 bbl,34000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,2091000 Cu.M,2081000 mt,945000000 Cu.M,752618 km,0 km,6043 km,0 km,Africa,Sub-Saharan Africa,29784454056.0,NATO
Ghana,2.4566,34589092,14873310,9961658,622604,15500,0,0,18,0,0,2,5,2,0,9,0,0,3648,0,6,6,20,10190,0,0,0,0,0,0,20,0,954423756,29241000000,243124000000,3624000000,11,13927000,4,52,947 km,65725 km,176000 bbl,96000 bbl,660000000 bbl,3192000000 Cu.M,3912000000 Cu.M,22653000000 Cu.M,0 Cu.M,51000 mt,0 Cu.M,238533 km,539 km,2420 km,1293 km,Africa,Sub-Saharan Africa,72838798788.0,NATO
South Sudan,2.4645,12703714,6351857,4065188,330297,185000,0,0,19,0,0,4,0,0,0,15,6,122,2550,24,0,15,0,10190,0,0,0,0,0,0,0,0,30700000,2722500000,6752000000,128248000,89,5091000,0,0,248 km,90200 km,146000 bbl,11000 bbl,3750000000 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,0 mt,0 Cu.M,644329 km,0 km,6018 km,0 km,Africa,Sub-Saharan Africa,92021865893.5,NATO
North Macedonia,2.4956,2135622,948216,783773,27763,10010,60000,3500,20,0,0,0,10,0,0,10,4,0,1878,0,156,18,0,10190,0,0,0,0,0,0,0,0,421527100,5637000000,43844000000,5252000000,13,779200,0,0,699 km,15170 km,0 bbl,24000 bbl,0 bbl,0 Cu.M,274928000 Cu.M,0 Cu.M,4000000 Cu.M,5344000 mt,332000000 Cu.M,25713 km,0 km,838 km,0 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Dominican Republic,2.5853,10815857,4975294,4034315,97343,89000,189000,30000,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,10190,0,0,0,0,0,0,14,0,903000000,35044000000,276884000000,13471000000,32,5413000,17,40,496 km,19705 km,0 bbl,146000 bbl,0 bbl,0 Cu.M,2440000000 Cu.M,0 Cu.M,0 Cu.M,2356000 mt,0 Cu.M,48320 km,1288 km,376 km,0 km,Americas,Latin America and the Caribbean,114000000000.0,NATO
Nicaragua,2.5894,6676948,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,12,0,186,6344,0,347,151,23,10190,0,0,0,0,0,0,23,0,1311600000,6753000000,52989000000,6105000000,39,3225000,5,5,0 km,24033 km,200 bbl,28000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,0 mt,0 Cu.M,130370 km,910 km,1253 km,2220 km,Americas,Latin America and the Caribbean,15671583878.0,NATO
Republic of the Congo,2.6259,6097665,2256136,1353682,115856,10000,0,2500,14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,10190,0,0,0,0,0,0,0,0,933360000,6360000000,39147000000,715391000,56,2563000,5,11,510 km,23324 km,267000 bbl,13000 bbl,2885000000 bbl,423000000 Cu.M,423000000 Cu.M,283990000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,342000 km,169 km,5008 km,1120 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Lebanon,2.6521,5364482,2092148,1775644,69738,80000,15000,65000,80,0,9,0,9,0,0,68,0,334,6912,12,350,11,48,10190,0,0,0,0,0,0,42,0,800000000,41619000000,65415000000,33301000000,8,1939000,5,51,401 km,21705 km,0 bbl,115000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,166000 mt,0 Cu.M,10400 km,225 km,484 km,0 km,Asia,Western Asia,92021865893.5,NATO
Eritrea,2.6841,6343956,2220385,1598677,76127,350000,680000,0,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,10190,0,0,0,0,0,0,18,0,219000000,461376000,2534000000,191694000,11,1710000,2,9,306 km,16000 km,0 bbl,5000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,0 Cu.M,0 mt,0 Cu.M,117600 km,2234 km,1840 km,0 km,Africa,Sub-Saharan Africa,92021865893.5,NATO
Niger,2.6867,26342784,7902835,5294900,447827,25000,0,5000,26,0,2,7,0,2,0,13,2,0,1550,0,0,0,0,10190,0,0,0,0,0,0,0,0,488400000,3793000000,47921000000,1442772000,26,10486000,0,0,0 km,18949 km,13000 bbl,18000 bbl,150000000 bbl,29509000 Cu.M,29858000 Cu.M,0 Cu.M,427000 Cu.M,426000 mt,90000000 Cu.M,1267000 km,0 km,5834 km,300 km,Africa,Sub-Saharan Africa,13969605583.0,NATO
Afghanistan,2.7342,40121552,15647405,8826741,842553,75000,0,90000,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,10190,0,0,0,0,0,0,0,0,145000000,1929750000,82238000000,8852092000,68,9133000,0,0,0 km,34903 km,0 bbl,58000 bbl,0 bbl,80200000 Cu.M,80200000 Cu.M,49554000000 Cu.M,767000 Cu.M,503000 mt,66000000 Cu.M,652230 km,0 km,5987 km,1200 km,Asia,Southern Asia,92021865893.5,NATO
Namibia,2.7414,2803660,616805,400923,30840,17567,0,5000,36,11,0,5,13,0,0,7,2,7,2402,0,50,55,15,10190,0,0,0,0,0,2,15,0,450498000,9680000000,31154000000,3356000000,259,1131000,2,15,2628 km,48875 km,0 bbl,23000 bbl,0 bbl,0 Cu.M,0 Cu.M,62297000000 Cu.M,0 Cu.M,24000 mt,350000000 Cu.M,824292 km,1572 km,4220 km,0 km,Africa,Sub-Saharan Africa,12607436976.0,NATO
Mauritania,2.7919,4328040,1687936,1181555,82233,31540,66000,5000,23,0,4,7,6,2,0,4,0,51,5024,0,75,0,6,10190,0,0,0,0,0,0,6,0,270625000,3072000000,33069000000,2039000000,25,1210000,2,11,728 km,12253 km,0 bbl,32000 bbl,20000000 bbl,0 Cu.M,0 Cu.M,28317000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,1030700 km,754 km,5002 km,1086 km,Africa,Sub-Saharan Africa,10375460680.0,NATO
Nepal,2.8037,31122387,15249970,11733140,778060,98500,82000,15000,17,0,0,7,0,0,0,10,0,0,1108,0,14,0,0,10190,0,0,0,0,0,0,0,0,431355326,5719000000,149643000000,12456000000,51,8435000,0,0,59 km,64500 km,0 bbl,71000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,9000 Cu.M,1091000 mt,8000000 Cu.M,147181 km,0 km,3159 km,0 km,Asia,Southern Asia,40828247302.0,NATO
Laos,2.8672,7953556,3499565,2521277,159071,100000,30000,120000,29,0,0,2,7,0,0,20,0,160,7725,50,97,64,51,10190,0,0,0,0,0,0,47,0,355600000,9619000000,66905000000,1770000000,20,3585000,0,1,422 km,59647 km,0 bbl,25000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,16629000 Cu.M,15944000 mt,62000000 Cu.M,236800 km,0 km,5274 km,4600 km,Asia,South-eastern Asia,92021865893.5,NATO
Senegal,2.8925,18847519,7162057,4089912,395798,17000,0,0,39,0,0,5,22,1,0,19,5,0,1860,0,20,6,4,10190,0,0,0,0,0,0,4,0,777800000,14985000000,83183000000,889295000,20,5763000,6,36,906 km,16665 km,9000 bbl,65000 bbl,0 bbl,54646000 Cu.M,54498000 Cu.M,0 Cu.M,0 Cu.M,138000 mt,0 Cu.M,196722 km,531 km,2684 km,1000 km,Africa,Sub-Saharan Africa,27684430244.0,NATO
