Country,Active_Personnel,Total_Aircraft,Aircraft_Carriers,Airports,Total_Area,Armored_Vehicles,Defense_Budget,Destroyers,Fighters,Fleet_Strength,Frigates,GDP,Helicopters,Population,Ports,Railways,Reserve_Personnel,Roadways,Rocket_Projectors,Submarines,Tanks
Russia,1320000,4237,1,905,17098242,126512,212638272000,13,861,747,12,6089000000000,1643,140820810,67,85494,2000000,1283387,2486,66,5630
Saudi Arabia,247000,917,0,90,2149690,22370,63988055520,0,283,32,7,2213000000000,264,36544431,16,5410,0,221372,327,0,1085
Senegal,17000,39,0,20,196722,1860,777800000,0,0,4,0,83183000000,19,18847519,6,906,0,16665,6,0,0
Serbia,22500,115,0,46,77474,7190,2770000000,0,11,30,0,177093000000,51,6652212,0,3333,2000,45022,73,0,242
Sierra Leone,13000,1,0,8,71740,350,450000000,0,0,10,0,26728000000,1,9121049,3,0,0,11701,0,0,0
Singapore,51000,235,0,9,719,17244,18000000000,0,100,101,6,800304000000,75,6028459,5,0,252500,3500,24,6,170
Slovakia,20982,48,0,116,49035,6636,2900000000,0,7,0,0,218762000000,22,5563649,0,3627,0,45106,25,0,45
Slovenia,7000,40,0,42,20273,4636,1782000000,0,0,3,0,103118000000,16,2097893,2,1207,26000,38125,0,0,54
Somalia,30000,6,0,40,637657,1104,870000000,0,0,19,0,26770000000,6,13017273,6,0,0,15000,0,0,0
South Africa,68731,181,0,573,1219090,23024,2877000000,0,2,63,4,870420000000,87,60442647,8,30400,29350,750000,201,3,248
South Korea,450000,1540,0,92,99720,117460,44800000000,14,242,215,18,2607000000000,827,52081799,15,3979,3100000,100428,525,22,1831
South Sudan,185000,19,0,89,644329,2550,30700000,0,0,0,0,6752000000,15,12703714,0,248,0,90200,15,0,122
Spain,121802,440,1,365,505370,49324,39000676350,0,136,175,11,2361000000000,169,47280433,52,15489,24033,150110,0,2,298
Sri Lanka,346000,90,0,18,65610,15021,1500000000,0,6,275,5,301407000000,49,21982608,6,1562,90000,114093,28,0,87
Sudan,300000,183,0,45,1861484,8890,394700000,0,37,10,0,94420000000,64,50467278,4,7251,200000,31000,800,0,1055
Suriname,2500,3,0,55,163820,1250,58440000,0,0,17,0,12316000000,3,646758,4,0,0,4304,0,0,0
Sweden,25600,172,0,206,450295,27576,15900000000,0,73,279,0,668628000000,53,10589835,92,10910,34000,197964,0,4,110
Switzerland,147178,141,0,66,41277,6885,8372658426,0,40,0,0,741035000000,39,8860574,0,5296,0,83131,0,0,134
Syria,100000,104,0,42,187437,18736,145925000,0,52,12,0,98858000000,39,23865423,3,2052,0,69873,0,0,168
Taiwan,230000,720,0,57,35980,24067,31180000000,4,258,91,21,1743000000000,239,23595274,8,1613,1657000,43206,223,4,1090
Tajikistan,150000,25,0,19,144100,6782,450460000,0,0,0,0,50370000000,20,10394063,0,680,600000,30000,24,0,38
Tanzania,25000,38,0,206,947300,8408,1476113361,0,11,12,0,246706000000,15,67462121,8,4097,0,145203,70,0,200
Thailand,360850,496,0,105,513120,52590,6006660000,0,73,304,7,1558000000000,258,69920998,21,4127,200000,180053,17,0,744
Tunisia,89800,155,0,14,163610,13927,2172751250,0,10,37,1,156086000000,101,12048847,16,2173,0,32332,0,0,145
Turkiye,481000,1101,0,116,783562,98193,51400000000,0,201,192,17,3018000000000,509,84119531,54,11497,380000,68526,237,14,2284
Turkmenistan,36500,91,0,23,488100,11588,1463000000,0,22,16,0,134555000000,26,5744151,0,5113,0,58592,164,0,654
Uganda,45000,51,0,39,241038,9702,1510000000,0,6,0,0,144137000000,30,49283041,0,1244,0,20544,12,0,259
Ukraine,900000,347,0,152,603550,45458,45000000000,0,88,169,0,577583000000,140,35661826,26,21733,4000000,169694,288,0,1121
United Arab Emirates,65000,581,0,42,83600,8982,23480000000,0,99,84,0,745994000000,250,10032213,20,0,130000,4080,49,0,354
United Kingdom,141330,625,2,1057,243610,94064,88526529585,6,103,116,7,3636000000000,262,68459055,185,16390,31940,416461,43,10,288
United States,1333030,13032,11,16116,9833517,409660,831500000000,83,1791,465,0,25676000000000,5913,341963408,666,293564,799500,6586610,1731,66,4666
Uruguay,24000,43,0,65,176215,5968,1903440000,0,0,16,0,108502000000,12,3425330,8,1673,0,77732,4,0,62
Uzbekistan,120000,159,0,74,447400,8692,6210000000,0,26,0,0,379989000000,101,36520593,0,4642,0,225500,108,0,470
Venezuela,109000,224,0,509,912050,15168,6060000000,0,30,41,1,110943000000,85,31250306,31,447,8000,96189,56,3,282
Vietnam,450000,265,0,36,331210,69914,10200000000,0,61,116,9,1456000000000,101,105758975,16,2600,5000000,195468,774,6,1999
Yemen,33350,160,0,37,527968,1550,405187500,0,68,26,0,18719000000,59,32140443,10,0,0,71300,30,0,0
Zambia,15150,78,0,120,752618,848,385321000,0,0,0,0,79207000000,33,20799116,0,3126,0,67671,50,0,75
Zimbabwe,29000,80,0,144,390757,1248,1976800000,0,9,0,0,57391000000,28,17150352,0,3427,0,97267,0,0,60
