country,active_personnel,total_aircraft,aircraft_carriers,airports,total_area,armored_vehicles,defense_budget,destroyers,fighters,fleet_strength,frigates,gdp,helicopters,population,ports,railways,reserve_personnel,roadways,rocket_projectors,submarines,tanks,power_index,total_military_manpower,fit_for_service,population_reaching_military_age_annually,paramilitary,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,attack_helicopters,self_propelled_artillery,towed_artillery,total_naval_fleet_tonnage_mt,helicopter_carriers,corvettes,coastal_patrol_craft,mine_warfare_craft,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,alliance
Bulgaria,36950.0,71.0,0.0,107.0,110880.0,6724.0,2485350000.0,0.0,11.0,45.0,6.0,219645000000.0,23.0,6782659.0,2.0,4029.0,3000.0,19512.0,24.0,0.0,334.0,1.2522,3187850.0,2611324.0,61044.0,0.0,5.0,6.0,26.0,0.0,0.0,4.0,48.0,24.0,0.0,0.0,3.0,0.0,17.0,14277000000.0,43698000000.0,3124000.0,78.0,4000.0,101000.0,15000000.0,20837000.0,2801000000.0,5663000000.0,20970000.0,20557000.0,2174000000.0,354.0,1806.0,470.0,Europe,Eastern Europe,NATO
Burkina Faso,7500.0,26.0,0.0,49.0,274200.0,876.0,4590000000.0,0.0,0.0,0.0,0.0,60001000000.0,19.0,23042199.0,0.0,622.0,0.0,15304.0,9.0,0.0,0.0,2.9213,8525614.0,6060098.0,368675.0,4500.0,3.0,2.0,0.0,2.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3565000000.0,47138000.0,6461000.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3611.0,0.0,Africa,Sub-Saharan Africa,Non-aligned
Cambodia,124300.0,24.0,0.0,12.0,181035.0,5439.0,750000000.0,0.0,0.0,20.0,0.0,123676000000.0,20.0,17063669.0,2.0,642.0,0.0,61810.0,521.0,0.0,520.0,1.8434,8190561.0,5733393.0,307146.0,10000.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,525.0,0.0,0.0,0.0,20.0,0.0,8019000000.0,22506000000.0,9904000.0,195.0,0.0,77000.0,0.0,0.0,0.0,0.0,27000.0,4390000.0,0.0,443.0,2530.0,3700.0,Asia,South-eastern Asia,Non-aligned
Cameroon,38000.0,35.0,0.0,37.0,475440.0,860.0,835694942.0,0.0,0.0,19.0,0.0,143264000000.0,21.0,30966105.0,7.0,987.0,0.0,77589.0,20.0,0.0,0.0,2.1689,10528476.0,6224187.0,495458.0,9000.0,0.0,6.0,6.0,2.0,0.0,0.0,18.0,52.0,0.0,0.0,0.0,19.0,0.0,11112000000.0,4882000000.0,11119000.0,198.0,64000.0,41000.0,200000000.0,2595000000.0,877058000.0,135071000000.0,0.0,0.0,0.0,400.0,5018.0,0.0,Africa,Sub-Saharan Africa,Non-aligned
Canada,63500.0,354.0,0.0,1425.0,9984670.0,21780.0,45824959620.0,0.0,66.0,67.0,12.0,2341000000000.0,146.0,38794813.0,284.0,49422.0,23000.0,1042300.0,0.0,4.0,74.0,0.5269,16681770.0,13500595.0,426743.0,5500.0,0.0,29.0,95.0,34.0,6.0,0.0,0.0,0.0,119637.0,0.0,0.0,17.0,0.0,2571113270000.0,119778000000.0,22868000.0,716.0,5688000.0,2377000.0,170300000000.0,187686000000.0,130316000000.0,2067126000000.0,50687000.0,20092000.0,6582000000.0,202080.0,8893.0,636.0,Americas,Northern America,NATO
Central African Republic,30000.0,8.0,0.0,43.0,622984.0,270.0,300000000.0,0.0,0.0,0.0,0.0,5926000000.0,0.0,5650957.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,4.2381,2203873.0,1254512.0,101717.0,1000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724179000.0,374405000.0,2000000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,5920.0,2800.0,Africa,Sub-Saharan Africa,Non-aligned
Chad,37750.0,40.0,0.0,44.0,1284000.0,4345.0,706800000.0,0.0,0.0,0.0,0.0,52895000000.0,16.0,19093595.0,0.0,0.0,0.0,40000.0,16.0,0.0,90.0,1.8594,6873694.0,3856906.0,381872.0,5000.0,7.0,7.0,8.0,2.0,0.0,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,2286000000.0,1050000000.0,6600000.0,0.0,124000.0,15000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6406.0,12400.0,Africa,Sub-Saharan Africa,Non-aligned
Chile,80000.0,274.0,0.0,379.0,756102.0,7480.0,6800000000.0,0.0,45.0,130.0,8.0,596556000000.0,86.0,18664652.0,39.0,7282.0,40000.0,77801.0,9.0,4.0,386.0,0.8704,8959033.0,7521855.0,298634.0,50000.0,0.0,33.0,92.0,18.0,5.0,0.0,48.0,249.0,176065.0,0.0,0.0,40.0,0.0,235950000000.0,44403000000.0,10088000.0,249.0,11000.0,404000.0,150000000.0,1200000000.0,6916000000.0,97976000000.0,474000.0,8087000.0,1181000000.0,6435.0,7801.0,12290.0,Americas,Latin America and the Caribbean,Non-aligned
China,2035000.0,3529.0,3.0,552.0,9596960.0,152040.0,303000000000.0,53.0,1443.0,841.0,46.0,33598000000000.0,1007.0,1415043270.0,66.0,150000.0,510000.0,5200000.0,2770.0,61.0,5870.0,0.0919,764123366.0,626864169.0,19810606.0,625000.0,371.0,287.0,401.0,105.0,9.0,281.0,2940.0,1400.0,3192411.0,4.0,50.0,150.0,36.0,488114000000.0,3456000000000.0,773880000.0,8314.0,4984000.0,16189000.0,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4805000000.0,5191000000.0,157041000000.0,14500.0,22457.0,27700.0,Asia,Eastern Asia,Non-aligned
Colombia,429000.0,430.0,0.0,661.0,1138910.0,12780.0,15800000000.0,0.0,16.0,213.0,9.0,978024000000.0,255.0,49588357.0,14.0,2141.0,998000.0,206102.0,0.0,4.0,0.0,0.7551,24298295.0,19190694.0,843002.0,150000.0,24.0,82.0,72.0,27.0,1.0,0.0,6.0,110.0,31090.0,0.0,2.0,158.0,0.0,108027000000.0,61898000000.0,26822000.0,153.0,800000.0,374000.0,2036000000.0,11290000000.0,11451000000.0,87782000000.0,52376000.0,9720000.0,4554000000.0,3208.0,6672.0,24725.0,Americas,Latin America and the Caribbean,Non-aligned
Croatia,14325.0,67.0,0.0,45.0,56594.0,4874.0,2744000000.0,0.0,12.0,30.0,0.0,164825000000.0,37.0,4150116.0,16.0,2617.0,20100.0,26958.0,42.0,0.0,55.0,1.5432,2033557.0,1564594.0,53952.0,2000.0,0.0,0.0,26.0,0.0,0.0,0.0,25.0,42.0,0.0,0.0,0.0,11.0,1.0,60500000000.0,3336000000.0,1733000.0,384.0,11000.0,70000.0,71000000.0,741456000.0,2502000000.0,24919000000.0,0.0,596000.0,0.0,5835.0,2237.0,4714.0,Europe,Southern Europe,NATO
Cuba,50000.0,20.0,0.0,120.0,110860.0,7792.0,3301500000.0,0.0,11.0,19.0,1.0,81165000000.0,13.0,10966038.0,34.0,8367.0,40000.0,60000.0,200.0,0.0,194.0,1.3345,5921661.0,4737328.0,142558.0,1145000.0,0.0,4.0,3.0,0.0,0.0,4.0,140.0,364.0,0.0,0.0,1.0,6.0,4.0,36372600000.0,10442000000.0,489000.0,65.0,34000.0,118000.0,124000000.0,659434000.0,659434000.0,70792000000.0,0.0,1000.0,0.0,3735.0,29.0,240.0,Americas,Latin America and the Caribbean,Non-aligned
Czechia,30334.0,103.0,0.0,252.0,78867.0,6275.0,9174000000.0,0.0,12.0,0.0,0.0,521928000000.0,42.0,10837890.0,0.0,9548.0,4900.0,129418.0,16.0,0.0,20.0,1.0313,5093808.0,4129236.0,97541.0,0.0,16.0,10.0,21.0,2.0,0.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,232320000000.0,146281000000.0,5541000.0,0.0,4000.0,219000.0,15000000.0,224725000.0,7602000000.0,3964000000.0,31946000.0,33239000.0,3595000000.0,0.0,2046.0,664.0,Unknown,Unknown,Non-aligned
Democratic Republic of the Congo,166580.0,56.0,0.0,273.0,2344858.0,7164.0,960000000.0,0.0,0.0,16.0,0.0,164367000000.0,38.0,115403027.0,3.0,4007.0,30800.0,152373.0,81.0,0.0,212.0,1.3051,39237029.0,31389623.0,2538867.0,10000.0,6.0,10.0,2.0,0.0,0.0,9.0,16.0,125.0,0.0,0.0,0.0,16.0,0.0,7926000000.0,3898125000.0,38546000.0,24.0,19000.0,35000.0,180000000.0,380000.0,380000.0,991090000.0,0.0,304000.0,987999000.0,37.0,10481.0,15000.0,Unknown,Unknown,Non-aligned
