Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
Switzerland,741035000000,909366000000,8372658426,2420000000000,41277,145,1770,1292,8860574,0,7,1,7,0,1,99,28,0,11,30,2,0,0,94,93,0,,,,,,,,,300,194000,0,3138000000,0,126000,5153000,17,0,66,83131,5296
Ethiopia,380895000000,3784000000,3720968976,25426000000,1104300,145,5925,0,118550298,0,8,3,4,1,0,62,15,0,5,20,0,0,4,220,92,305,,,,,,,,,0,102000,0,0,456000,1653000,54470000,12,0,58,180000,659
Finland,313591000000,17993000000,8890000000,726000000000,338145,1250,2563,8000,5626414,0,0,0,4,5,0,122,40,0,8,58,1,0,0,150,94,500,0,0,0,0,0,0,8,18,8000,175000,0,1157000000,811000,3933000,2898000,282,37,98,108637,5918
Chile,596556000000,44403000000,6800000000,235950000000,756102,6435,7801,12290,18664652,0,3,6,4,2,3,178,29,0,21,60,12,3,0,251,31,162,0,0,0,8,0,4,40,0,11000,404000,1200000000,6916000000,474000,8087000,10088000,249,39,379,77801,7282
Peru,535911000000,79246000000,2552000000,38102000000,1285216,2414,7062,8808,32600249,0,9,9,4,2,2,139,8,12,21,37,7,0,9,231,8,189,0,0,0,7,8,6,13,0,118000,255000,12270000000,7185000000,1382000,973000,18918000,111,20,174,70000,1855
Venezuela,110943000000,9944750000,6060000000,121363000000,912050,2800,5267,7100,31250306,0,0,0,3,0,7,123,17,0,26,41,2,1,6,169,36,55,0,0,0,1,0,3,26,0,801000,203000,17696000000,17696000000,149000,80000,11136000,272,31,509,96189,447
Romania,774376000000,73391000000,10230630000,145200000000,238391,225,2844,1731,18148155,0,6,1,5,3,1,89,17,0,8,26,1,0,0,271,0,432,0,0,0,3,7,0,0,7,67000,220000,9501000000,10055000000,14752000,15533000,8263000,127,11,103,85387,10628
Uzbekistan,379989000000,41237000000,6210000000,25714000000,447400,420,6893,1100,36520593,0,7,0,3,0,1,87,14,7,7,4,0,0,19,259,97,130,0,0,0,0,0,0,0,0,64000,111000,47500000000,43227000000,6379000,8941000,13974000,0,0,74,225500,4642
United Arab Emirates,745994000000,237931000000,23480000000,290400000000,83600,1318,1066,0,10032213,0,3,8,6,3,1,349,59,24,21,91,16,3,18,212,99,59,0,0,0,0,11,0,34,2,4146000,846000,56683000000,66091000000,0,5411000,7090000,655,20,42,4080,0
Czechia,521928000000,146281000000,9174000000,232320000000,78867,145,2046,664,10837890,0,1,9,3,0,0,77,9,12,8,16,2,0,3,14,37,0,,,,,,,,,4000,219000,224725000,7602000000,31946000,33239000,5541000,0,0,252,129418,9548
