Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
New Zealand,257117000000,22065000000,2455949332,230651410000,268838,15134,145,0,5161211,0,4,2,2,1,0,31,0,0,5,8,4,0,0,0,0,22,0,0,0,2,0,0,4,0,12000,154000,3770000000,3819000000,3011000,2696000,3124000,117,22,206,94000,4128
Slovenia,103118000000,2832000000,1782000000,60500000000,20273,47,1211,710,2097893,0,4,1,3,2,2,28,0,0,4,16,0,0,0,38,12,13,0,0,0,0,0,0,3,0,4,44000,3863000,840902000,2440000,2309000,1058000,8,2,42,38125,1207
Mozambique,51786000000,3843000000,480000000,8274000000,799380,2470,4783,460,33350954,0,3,6,0,0,0,12,4,1,3,1,0,0,1,30,0,52,0,0,0,0,0,0,36,0,0,42000,5388000000,1347000000,10583000,13000,15173000,36,11,92,30562,4787
Mongolia,59221000000,5508000000,1590000000,8379000000,1564116,145,8082,580,3281676,0,3,9,1,0,5,4,0,0,2,1,0,0,0,231,0,275,,,,,,,,,15000,39000,0,0,68824000,8941000,1449000,318,0,37,113200,1815
Ireland,620544000000,12698000000,1754400500,3630000000000,70273,1448,443,956,5233461,0,2,1,1,0,0,15,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,600,159000,1447000000,5280000000,0,1341000,2857000,94,21,100,102227,1688
Georgia,91849000000,4447000000,680000000,9085000000,69700,310,1814,0,4900961,0,4,9,8,2,0,34,0,3,1,6,0,0,6,73,37,67,0,0,0,0,0,0,31,4,300,34000,8760000,2796000000,148000,384000,1833000,26,3,21,40044,1363
Guatemala,232673000000,24412000000,616000000,11862000000,108889,400,1667,990,18255216,0,4,0,6,5,2,19,0,2,6,0,1,0,0,0,0,66,0,0,0,0,0,0,20,0,6000,117000,3276000,2986000,0,1012000,7575000,9,3,58,17440,800
Uruguay,108502000000,17378000000,1903440000,54450000000,176215,660,1591,1600,3425330,0,6,6,7,0,1,24,0,3,3,7,3,1,0,37,10,50,0,0,0,0,0,0,5,2,400,50000,0,86037000,0,8000,1768000,58,8,65,77732,1673
Yemen,18719000000,831025575,405187500,6492000000,527968,1906,1601,0,32140443,0,1,9,1,0,1,64,27,0,1,12,0,0,6,0,6,30,0,0,0,0,1,0,9,0,15000,58000,189432000,189432000,0,27000,7848000,30,10,37,71300,0
Cameroon,143264000000,4882000000,835694942,11112000000,475440,400,5018,0,30966105,0,1,6,1,0,0,12,0,0,2,2,1,0,0,0,10,29,0,0,0,0,0,0,19,0,64000,41000,2595000000,877058000,0,0,11119000,198,7,37,77589,987
Tajikistan,50370000000,3026450000,450460000,3024000000,144100,145,4130,200,10394063,0,3,7,4,8,2,14,0,0,1,2,0,0,3,23,2,8,,,,,,,,,300,31000,18476000,85567000,2394000,2297000,2780000,0,0,19,30000,680
Armenia,60909000000,3685000000,1480000000,6002000000,29743,145,1570,0,2976765,0,9,5,2,1,2,35,2,7,2,6,0,0,10,60,57,106,,,,,,,,,0,15000,0,2861000000,300,19000,1510000,0,0,11,7700,686
Latvia,72516000000,5141000000,42000000,48598440000,64589,498,1370,300,1801246,0,0,9,0,1,7,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,11,6,2000,33000,0,828214000,0,20000,954900,83,5,55,57972,2216
Honduras,71297000000,8036000000,612300000,7785000000,112090,832,1575,465,9529188,0,0,0,5,0,2,25,3,4,6,6,1,0,0,14,0,31,0,0,0,0,0,0,93,0,20,71000,0,0,0,144000,4296000,489,8,129,14742,699
Mali,71253000000,647800000,1110000000,4085000000,1240192,145,7908,1800,21990607,0,5,6,2,0,0,18,4,5,3,2,0,0,3,0,0,23,,,,,,,,,0,46000,0,0,0,0,9126000,0,0,30,139107,593
Zimbabwe,57391000000,484973000,1976800000,6671000000,390757,145,3229,0,17150352,0,7,1,2,0,1,40,5,5,7,10,0,0,3,33,0,0,,,,,,,,,800,34000,0,0,7968000,6705000,6386000,0,0,144,97267,3427
Estonia,57001000000,2075000000,2375000000,29040000000,45228,3794,657,335,1193791,0,2,1,6,3,8,1,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,4,4,24000,27000,0,354912000,0,800,756200,72,20,34,89382,1441
Uganda,144137000000,3432750000,1510000000,10469000000,241038,145,2729,0,49283041,0,1,0,1,0,0,26,3,0,2,6,0,0,3,142,3,14,,,,,,,,,0,44000,0,0,19,0,22829000,0,0,39,20544,1244
Ivory Coast,215018000000,7583484000,18200000,26576000000,322463,515,3458,980,29981758,0,2,9,1,0,0,10,0,0,1,1,1,0,2,0,0,2,0,0,0,0,0,0,7,0,29000,87000,2635000000,2635000000,0,0,12595000,25,5,29,81996,660
Kyrgyzstan,50907000000,5089000000,654000000,3617000000,199951,145,4573,576,6172101,0,3,9,4,0,9,4,0,0,0,0,0,0,1,129,18,104,,,,,,,,,6000,31000,31026000,438000000,3685000,4212000,3197000,0,0,28,34000,424
Luxembourg,86871000000,2789000000,1530685000,5203000000000,2586,145,327,37,671254,0,8,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,0,51000,0,594240000,0,34000,350000,147,0,3,2746,271
Zambia,79207000000,3017000000,385321000,16597000000,752618,145,6043,0,20799116,0,9,8,1,0,0,39,0,0,7,17,0,0,0,41,7,33,,,,,,,,,0,34000,0,0,2091000,2081000,7407000,2,0,120,67671,3126
Ghana,243124000000,3624000000,954423756,29241000000,238533,539,2420,1293,34589092,0,8,8,0,0,0,10,0,0,1,3,1,0,0,0,0,4,0,0,0,0,0,0,20,0,176000,96000,3192000000,3912000000,0,51000,13927000,52,4,11,65725,947
South Sudan,6752000000,128248000,30700000,2722500000,644329,145,6018,0,12703714,0,0,6,5,0,0,9,0,0,2,0,0,0,3,67,13,0,,,,,,,,,146000,11000,0,0,0,0,5091000,0,0,89,90200,248
North Macedonia,43844000000,5252000000,421527100,5637000000,25713,145,838,0,2135622,4,7,3,5,8,2,11,0,0,0,6,0,0,2,0,0,86,,,,,,,,,0,24000,0,274928000,4000000,5344000,779200,0,0,13,15170,699
Dominican Republic,276884000000,13471000000,903000000,35044000000,48320,1288,376,0,10815857,0,3,9,8,7,3,40,0,4,6,9,1,0,0,3,0,7,0,0,0,0,0,0,14,0,0,146000,0,2440000000,0,2356000,5413000,40,17,32,19705,496
Nicaragua,52989000000,6105000000,1311600000,6753000000,130370,910,1253,2220,6676948,0,6,2,7,0,1,9,0,0,3,1,0,0,0,102,0,191,0,0,0,0,0,0,23,0,200,28000,0,0,0,0,3225000,5,5,39,24033,0
Republic of the Congo,39147000000,715391000,933360000,6360000000,342000,169,5008,1120,6097665,0,2,9,2,0,0,6,1,0,2,0,0,0,0,31,2,19,0,0,0,0,0,0,0,0,267000,13000,423000000,423000000,0,0,2563000,11,5,56,23324,510
Lebanon,65415000000,33301000000,800000000,41619000000,10400,225,484,0,5364482,0,1,3,5,3,2,40,0,5,0,5,0,0,0,184,7,193,0,0,0,0,0,0,42,0,0,115000,0,0,0,166000,1939000,51,5,8,21705,401
Eritrea,2534000000,191694000,219000000,461376000,117600,2234,1840,0,6343956,0,2,2,5,7,0,7,0,0,2,0,0,0,2,67,20,40,0,0,0,0,0,0,18,0,0,5000,0,0,0,0,1710000,9,2,11,16000,306
Niger,47921000000,1442772000,488400000,3793000000,1267000,145,5834,300,26342784,0,1,7,1,0,0,13,0,1,4,0,1,0,1,0,0,0,,,,,,,,,13000,18000,29509000,29858000,427000,426000,10486000,0,0,26,18949,0
Afghanistan,82238000000,8852092000,145000000,1929750000,652230,145,5987,1200,40121552,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,58000,80200000,80200000,767000,503000,9133000,0,0,68,34903,0
Namibia,31154000000,3356000000,450498000,9680000000,824292,1572,4220,0,2803660,0,3,1,6,0,2,16,5,0,2,6,0,0,1,4,0,25,0,0,0,0,2,0,15,0,0,23000,0,0,0,24000,1131000,15,2,259,48875,2628
Mauritania,33069000000,2039000000,270625000,3072000000,1030700,754,5002,1086,4328040,0,3,9,7,5,1,10,0,2,3,3,1,0,0,26,0,38,0,0,0,0,0,0,6,0,0,32000,0,0,0,0,1210000,11,2,25,12253,728
Nepal,149643000000,12456000000,431355326,5719000000,147181,145,3159,0,31122387,0,7,5,3,3,0,9,0,0,4,0,0,0,0,0,0,8,,,,,,,,,0,71000,0,0,9000,1091000,8435000,0,0,51,64500,59
Laos,66905000000,1770000000,355600000,9619000000,236800,145,5274,4600,7953556,0,7,0,3,4,5,16,0,0,1,4,0,0,0,104,33,63,,,,,,,,,0,25000,0,0,16629000,15944000,3585000,1,0,20,59647,422
Senegal,83183000000,889295000,777800000,14985000000,196722,531,2684,1000,18847519,0,7,1,1,0,0,18,0,0,2,10,0,0,2,0,0,10,0,0,0,0,0,0,4,0,9000,65000,54646000,54498000,0,138000,5763000,36,6,20,16665,906
Burkina Faso,60001000000,47138000,4590000000,3565000000,274200,145,3611,0,23042199,0,3,6,0,0,0,8,0,1,1,0,1,0,2,0,0,3,,,,,,,,,0,37000,0,0,0,0,6461000,0,0,49,15304,622
Montenegro,17375000000,1741000000,204000000,3643000000,13812,294,680,0,599849,0,2,6,4,0,9,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,0,9000,0,0,1862000,1658000,245300,18,4,5,7762,250
El Salvador,73961000000,3705000000,1037200000,12668000000,21041,307,590,422,6628702,0,9,2,4,0,2,28,0,8,2,6,0,0,0,0,0,49,0,0,0,0,0,0,8,0,3,56000,0,226472,0,500,2890000,5,3,27,9012,13
Botswana,45553000000,3456000000,581000000,1761000000,581730,145,4347,0,2450668,0,2,0,5,0,0,18,4,0,4,4,0,0,0,20,5,16,,,,,,,,,0,22000,0,0,2242000,1351000,1173000,0,0,122,31747,888
Madagascar,52968000000,2785000000,147630000,3548000000,587040,4828,145,600,29452714,0,0,9,0,0,0,3,0,0,1,0,0,0,0,7,0,9,0,0,0,0,0,0,5,0,0,20000,0,0,0,472000,16519000,29,13,93,31640,836
Gabon,48045000000,1447000000,340950000,6442000000,267667,885,3261,1600,2455105,0,7,9,2,0,1,11,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,204000,14000,463000000,463000000,0,0,824400,87,9,42,14300,649
Bosnia and Herzegovina,64641000000,9419000000,289920000,5359000000,51197,20,1543,990,3798671,0,5,3,5,2,0,10,0,0,0,0,0,0,0,29,0,195,0,0,0,0,0,0,0,0,0,34000,0,225824000,12311000,12304000,1356000,0,1,20,8619,965
Iceland,26561000000,6403000000,500000000,24200000000,100250,4970,145,0,364036,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,137000,248400,39,43,82,12905,0
Panama,164484000000,6856000000,1069750000,1227085530000,75420,2490,687,800,4470241,0,0,2,4,0,8,21,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,131000,0,389611000,0,863000,2206000,8174,12,77,11978,77
Moldova,39342000000,5848000000,114114000,2637000000,33851,145,1885,558,3599528,0,8,0,2,1,1,1,0,0,0,0,0,0,0,0,2,34,,,,,,,,,0,22000,10000,2344000000,0,90000,1358000,75,0,10,9488,1171
Somalia,26770000000,16747500,870000000,2563000000,637657,3025,2385,0,13017273,0,8,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6000,0,0,0,0,3439000,4,6,40,15000,0
Benin,56424000000,698900000,137690000,6309000000,112622,121,2123,150,14697052,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,40000,0,182131000,0,164000,6397000,6,1,10,16000,438
Kosovo,25019000000,1310000000,1177450000,785739000,10887,145,714,0,1977093,4,6,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,16000,0,0,6924000,6931000,500300,0,0,2,2248,437
Sierra Leone,26728000000,495699000,450000000,1451000000,71740,402,1093,800,9121049,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9000,0,0,0,0,2863000,584,3,8,11701,0
Liberia,9308000000,599660000,20700000,1335000000,111369,579,1667,0,5437249,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5000,0,0,0,0,2607000,4821,4,19,10600,429
Suriname,12316000000,1632000000,58440000,2645000000,163820,386,1907,1200,646758,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14000,17000,7109000,6967000,0,0,255500,13,4,55,4304,0
Central African Republic,5926000000,374405000,300000000,724179000,622984,145,5920,2800,5650957,0,2,8,5,0,0,2,0,2,0,0,0,0,0,0,0,0,,,,,,,,,0,2000,0,0,0,0,2000000,0,0,43,24000,0
Beliz,5538000000,498087000,34400000,1235000000,22966,386,542,825,415789,0,7,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,800,5000,0,0,0,0,190000,774,2,27,3281,0
Bhutan,11517000000,941018000,26600000,2827000000,38394,145,1136,0,884546,0,8,5,8,7,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,4000,0,0,4000,105000,406500,0,0,4,12205,0
