Country Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp_usd,alliance,power_index_rank_gap,force_readiness_index,air_superiority_index,logistics_index,superiority_index,coalition_score,coalition_budget,combined_personnel,power_advantage,budget_advantage
Democratic Republic of the Congo,115403027,39237029,31389623,2538867,166580,30800,10000,56,0,6,10,2,0,0,38,9,212,7164,16,125,81,16,30674.713333333333,0,0,0,0,0,0,16,0,960000000,7926000000,164367000000,3898125000,273,38546000,3,24,4007,152373,19000,35000,180000000,380000.0,380000.0,991090000.0,0.0,304000,987999000.0,2344858,37,10481,15000,Africa,Sub-Saharan Africa,58065953573.0,Non-NATO,51,5.6999171275876845,0.2909004848672879,1.259028156600641,2.7449454434754523,1.688658953492385,960000000.0,207380,0.8660679426017824,5.58578159536612
Denmark,5973136,2628180,2126436,77651,21000,12000,51000,122,26,19,4,36,3,0,34,0,44,5930,19,0,8,50,121180.0,0,0,0,0,9,0,9,6,14250000000,611050000000,440558000000,108405000000,102,3210000,69,715,2682,73591,63000,151000,441000000,1879000000.0,2208000000.0,29534000000.0,0.0,1135000,0.0,43094,7314,140,400,Europe,Northern Europe,395000000000.0,NATO,69,0.8724786691846826,1.4470724404292585,3.3605928506415985,1.7912910549951302,4.896677867798948,86353598982.25,84000,6.7776506051748635,12.294016985667303
Dominican Republic,10815857,4975294,4034315,97343,89000,189000,30000,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,31032.66,0,0,0,0,0,0,14,0,903000000,35044000000,276884000000,13471000000,32,5413000,17,40,496,19705,0,146000,0,0.0,2440000000.0,0.0,0.0,2356000,0.0,48320,1288,376,0,Americas,Latin America and the Caribbean,114000000000.0,Non-NATO,71,3.260699128528144,0.40014478399739073,0.5862837824208327,1.6002082213367246,0.9992933390643135,903000000.0,308000,13.724359123125407,2.6297162146839104
Ecuador,18309984,8422593,6738074,329580,41250,118000,1500,99,0,0,20,34,8,0,43,0,202,5322,5,106,24,30,60286.65666666667,0,0,2,0,2,6,5,0,2963400000,39658000000,252728000000,6908000000,317,8821000,6,154,965,43950,480000,272000,8273000000,309778000.0,309778000.0,10902000000.0,0.0,14000,24000000.0,283560,2237,2237,1500,Americas,Latin America and the Caribbean,115000000000.0,Non-NATO,88,1.8267712889822967,0.22790055248618782,1.0859092440292555,1.1248514545475516,0.8052892521630511,2963400000.0,160750,4.231217114252801,8.756003653224926
Egypt,111247248,45611372,38269053,1668709,438500,479000,300000,1088,242,90,53,344,11,0,348,100,3620,54694,1056,962,648,149,235989.0,0,2,8,0,13,7,61,17,5193500000,117272000000,1958000000000,44921000000,73,33749000,31,441,5085,65050,667000,830000,3300000000,64817000000.0,60089000000.0,1784000000000.0,69000.0,3262000,182000000.0,1001450,2450,2612,3500,Africa,Northern Africa,477000000000.0,Non-NATO,14,15.621683797431537,11.014811677166385,2.1177380749196604,10.188438444598429,6.342163714282985,5193500000.0,1217500,5.274508388681237,3.64808016766556
El Salvador,6628702,3181777,2512278,145831,25000,0,15000,51,0,15,3,10,0,0,28,0,0,2144,0,76,0,13,28176.59,0,0,0,0,0,0,8,0,1037200000,12668000000,73961000000,3705000000,27,2890000,3,5,13,9012,3,56000,0,0.0,226472.0,0.0,0.0,500,0.0,21041,307,590,422,Americas,Latin America and the Caribbean,32488720000.0,Non-NATO,116,0.7843759871324087,0.5223709175089197,0.13654006801927487,0.5114236905114219,0.35196339828205886,1037200000.0,40000,2.9082637485109144,10.869158876606337
Eritrea,6343956,2220385,1598677,76127,350000,680000,0,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,30376.17,0,0,0,0,0,0,18,0,219000000,461376000,2534000000,191694000,11,1710000,2,9,306,16000,0,5000,0,0.0,0.0,0.0,0.0,0,0.0,117600,2234,1840,0,Africa,Sub-Saharan Africa,2065001626.0,Non-NATO,35,11.375267376770156,0.07116614379447884,0.13738606377158277,4.612672612977881,2.776492600310989,219000000.0,1030000,78.24910094769827,36.314032442435526
Estonia,1193791,584958,456028,13132,7700,230000,10000,2,0,0,2,0,0,0,0,0,0,2579,48,0,6,8,80176.25666666667,0,0,0,0,0,0,4,4,2375000000,29040000000,57001000000,2075000000,34,756200,20,72,1441,89382,24000,27000,0,0.0,354912000.0,0.0,0.0,800,0.0,45228,3794,657,335,Europe,Northern Europe,38100812959.0,NATO,102,1.2319972993157953,0.004604051565377532,0.9890115435609603,0.7908835982642195,3.7707498219198055,74478598982.25,247700,99.99999999999999,21.307431950687974
Ethiopia,118550298,56904143,35327989,2726657,503000,138000,0,104,25,0,9,34,0,0,33,7,338,8586,142,469,79,0,1097488.7933333332,0,0,0,0,0,0,0,0,3720968976,25426000000,380895000000,3784000000,58,54470000,0,12,659,180000,0,102000,428000,0.0,0.0,24919000000.0,456000.0,1653000,0.0,1104300,0,5925,0,Africa,Sub-Saharan Africa,127000000000.0,Non-NATO,25,14.863604221085309,0.8675513849172195,0.6927112796837953,6.413520487814428,4.012026803931119,3720968976.0,641000,2.6058995647878147,9.967786354374786
Finland,5626414,2306830,1912981,56264,24000,870000,53800,162,53,0,11,77,1,0,27,0,200,14866,125,667,76,165,19434.0,0,0,0,0,0,0,8,18,8890000000,726000000000,313591000000,17993000000,98,2898000,37,282,5918,108637,8000,175000,0,0.0,1157000000.0,0.0,811000.0,3933000,0.0,338145,1250,2563,8000,Europe,Northern Europe,281000000000.0,NATO,47,4.618714706849154,1.7045864682528666,2.202395616017617,3.0195805080208067,5.396374575819356,80993598982.25,947800,81.18715317505023,10.770330395156149
