country,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,power_index,power_index_rank,gdp_usd,continent,region,alliance
Saudi Arabia,19003104,17468238,621255,247000,0,150000,917,283,81,49,202,16,22,264,34,1085,22370,380,557,327,32,49727,0,0,0,0,7,9,9,3,63988055520.0,248171000000.0,2213000000000.0,463870000000.0,90,17168000,16,433,5410,221372,11174000,3524000,258600000000.0,121870000000.0,121870000000.0,9423000000000.0,0,66000,0.0,2149690,2640,4272,0,0.4473,25,1110000000000.0,Asia,Western Asia,Non-NATO
Uzbekistan,18990708,15959499,730412,120000,0,20000,159,26,13,12,7,0,0,101,34,470,8692,177,236,108,0,121180,0,0,0,0,0,0,0,0,6210000000.0,25714000000.0,379989000000.0,41237000000.0,74,13974000,0,0,4642,225500,64000,111000,594000000.0,47500000000.0,43227000000.0,1841000000000.0,6379000,8941000,1375000000.0,447400,420,6893,1100,0.9908,53,80391853885.0,Asia,Central Asia,Non-NATO
Poland,18985692,15576017,464956,250000,350000,50000,457,58,12,44,112,11,0,224,29,798,57972,593,0,298,63,55530,0,0,1,0,2,2,3,29,55865141600.0,425642000000.0,1649000000000.0,223115000000.0,318,18245000,10,152,19461,427580,24000,743000,113000000.0,5551000000.0,20056000000.0,91492000000.0,96720000,99932000,27758000000.0,312685,440,2845,3997,0.3891,21,688000000000.0,Europe,Eastern Europe,NATO
Ukraine,18187531,12731272,392280,900000,4000000,100000,347,88,30,22,72,5,0,140,39,1121,45458,682,625,288,169,22266,0,0,0,0,0,0,133,5,45000000000.0,90003000000.0,577583000000.0,43781000000.0,152,20539000,26,410,21733,169694,3000,192000,395000000.0,18725000000.0,22856000000.0,1104000000000.0,19603000,25012000,34375000000.0,603550,2782,5581,1672,0.3691,20,161000000000.0,Europe,Eastern Europe,Non-NATO
Morocco,17946041,15254135,635589,400000,250000,50000,271,84,0,31,77,4,2,73,6,1346,17594,544,188,185,100,121180,0,0,0,0,6,1,84,0,16100000000.0,42262000000.0,350594000000.0,37134000000.0,48,12475000,12,94,2067,57300,25,296000,684000.0,82595000.0,243201000.0,1444000000.0,0,10304000,96000000.0,715550,1835,2363,0,1.0368,56,134000000000.0,Africa,Northern Africa,Non-NATO
Iraq,17675043,14308368,715418,193000,0,100000,360,26,36,15,111,17,0,183,39,1188,37496,434,610,572,67,32565,0,0,0,0,0,1,55,0,8000000000.0,15580000000.0,585887000000.0,100691000000.0,73,12008000,6,74,2272,59623,4448000,1043000,145019000000.0,9860000000.0,19298000000.0,3729000000000.0,0,0,0.0,438317,58,3809,5279,0.8115,44,264000000000.0,Asia,Western Asia,Non-NATO
Uganda,16756234,9905891,985661,45000,0,10000,51,6,0,3,12,0,0,30,6,259,9702,6,26,12,0,121180,0,0,0,0,0,0,0,0,1510000000.0,10469000000.0,144137000000.0,3432750000.0,39,22829000,0,0,1244,20544,0,44000,2500000000.0,0.0,0.0,14158000000.0,19,0,799999000.0,241038,0,2729,0,2.3252,107,45559202049.0,Africa,Sub-Saharan Africa,Non-NATO
Canada,16681770,13500595,426743,63500,23000,5500,354,66,0,29,95,34,6,146,0,74,21780,0,0,0,67,119637,0,0,4,0,12,0,17,0,45824959620.0,2571110000000.0,2341000000000.0,119778000000.0,1425,22868000,284,716,49422,1042300,5688000,2377000,170300000000.0,187686000000.0,130316000000.0,2067130000000.0,50687000,20092000,6582000000.0,9984670,202080,8893,636,0.5269,28,2140000000000.0,Americas,Northern America,NATO
Malaysia,16245461,13480276,553037,113000,51600,100000,132,25,11,15,31,6,4,45,0,48,15415,0,196,36,100,67735,0,0,2,0,2,4,72,4,5100000000.0,8748000000.0,1212000000000.0,116229000000.0,100,18264000,35,1750,1851,144403,582000,672000,3600000000.0,75456000000.0,42499000000.0,1189000000000.0,4476000,35741000,226000000.0,329847,4675,2742,7200,0.7379,42,406000000000.0,Asia,South-eastern Asia,Non-NATO
Peru,15648120,12681497,619405,120000,386000,60000,252,15,22,39,68,12,0,112,16,355,9168,12,290,61,78,171629,0,0,6,0,7,8,13,0,2552000000.0,38102000000.0,535911000000.0,79246000000.0,174,18918000,20,111,1855,70000,118000,255000,858890000.0,12270000000.0,7185000000.0,300159000000.0,1382000,973000,1567000000.0,1285216,2414,7062,8808,0.8827,50,243000000000.0,Americas,Latin America and the Caribbean,Non-NATO
